pharmacy_id,name,phone,other_address,fips,geolinkid,website,npi,provider_name,taxonomy_code,license_number,license_state,latitude,longitude,street,city,zipcode,county,state
38,Harris Teeter - 224,(919) 403-8053,Suite 310,37063,781871461,http://www.harristeeter.com,1083877591,Harris Teeter Pharmacy,3336C0003X,10118,NC,35.9176,-78.958529,1125 West North Carolina 54,Durham,27707,Durham County,NC
56,Rite Aid - 11402,(919) 596-7688,,37063,792846349,http://www.riteaid.com,1467551606,Rite Aid Pharmacy 11402,332B00000X,,,35.982547,-78.822032,3721 Wake Forest Highway,Durham,27703,Durham County,NC
60,Rite Aid - 11408,(919) 484-8817,,37063,127897418,http://www.riteaid.com,1013016252,Rite Aid Pharmacy 11408,332B00000X,,,35.923238,-78.927748,111 East Woodcroft Parkway,Durham,27713,Durham County,NC
75,Sam'S Club - 6668,(919) 474-5453,,37063,,http://www.samsclub.com,1427291327,Sams Pharmacy 10-6668,332B00000X,,,35.866923,-78.842296,1101 Shiloh Glenn Drive,Morrisville,27560,Wake County,NC
76,Wal-Mart - 4250,(919) 941-5170,,37063,,http://www.walmart.com,1225273444,Wal-Mart Pharmacy,3336C0003X,10282,NC,35.86739,-78.846204,1001 Shiloh Glenn Drive,Morrisville,27560,Wake County,NC
77,Bunn Drug,(919) 497-1700,,37069,102369159,http://www.bunndrug.com,1477599850,Bunn Drug,333600000X,,,35.959432,-78.258576,382 North Carolina 98,Bunn,27508,Franklin County,NC
78,Kerr Drug,(919) 494-7735,,37069,102370724,http://www.kerrdrug.com,1124138813,Kerr Drug 411,333600000X,6505,NC,36.100989,-78.46589,3422 U.S. 1,Franklinton,27525,Franklin County,NC
83,Wal-Mart - 1953,(919) 496-4644,,37069,,http://www.walmart.com,1679590830,Wal-Mart Pharmacy,332B00000X,,,36.083257,-78.320724,705 Retail Way,Louisburg,27549,Franklin County,NC
84,Cvs - 8959,(919) 554-1183,,37069,763013666,http://www.cvs.com,1144467077,Cvs Pharmacy # 08959,332B00000X,,,36.040678,-78.497009,1190 U.S. 1,Youngsville,27596,Franklin County,NC
92,Cvs - 2771,(919) 359-2900,,37101,102945971,http://www.cvs.com,1629172390,Cvs Pharmacy # 02771,3336C0003X,,,35.656782,-78.479932,11911 U.S. 70 Business,Clayton,27520,Johnston County,NC
94,Rite Aid - 11369,(919) 553-0144,,37101,102422724,http://www.riteaid.com,1790884914,Rite Aid Pharmacy 11369,332B00000X,,,35.651249,-78.46956,11360 Old U.S. Highway 70,Clayton,27520,Johnston County,NC
95,Walgreens - 7801,(919) 550-3910,,37101,125349397,http://www.walgreens.com,1750396750,Walgreens #07801,3336C0003X,,,35.650426,-78.468617,11306 U.S. 70 Business,Clayton,27520,Johnston County,NC
97,Kerr Drug,(919) 963-3777,,37101,746860266,http://www.kerrdrug.com,1457461154,Kerr Drug 509,333600000X,6528,NC,35.447544,-78.422113,6030 U.S. Highway 301 South,Four Oaks,27524,Johnston County,NC
144,Southside Pharmacy,(252) 478-5969,,37127,127895462,,1124112412,Southside Pharmacy,3336C0003X,7891,NC,35.950399,-78.106333, ,Spring Hope,27882,Nash County,NC
125,Middlesex Pharmacy,(252) 235-4367,,37127,102403350,,1831263227,,333600000X,3786,NC,35.788457,-78.204302,10196 South Nash Street,Middlesex,27557,Nash County,NC
147,Carrboro Family Pharmacy,(919) 933-7629,Unit J,37135,127896837,,1821143173,,3336C0003X,7700,NC,35.916584,-79.096641, Unnamed Road,Carrboro,27510,Orange County,NC
162,Kerr Drug,(919) 732-6263,,37135,17081091,http://www.kerrdrug.com,1487764171,Kerr Drug 319,333600000X,6877,NC,36.086779,-79.099051,200 U.S. 70,Hillsborough,27278,Orange County,NC
163,Wal-Mart Supercenter - 1191,(919) 732-9181,,37135,127897149,http://www.walmart.com,1285652081,Wal-Mart Pharmacy,332B00000X,,,36.056168,-79.085832,501 Hampton Pointe,Hillsborough,27278,Orange County,NC
170,Kroger,(919) 380-1443,,37183,127861535,http://www.kroger.com,1285668079,Kroger Pharmacy,333600000X,,,35.746025,-78.821869,940 U.S. 64,Apex,27523,Wake County,NC
